customerID,FirstName,LastName,Gender,AgeGroup,Country,City,LoyaltyTier
1,John,Khan,Male,26-35,UAE,RAK,Silver
2,John,Ali,Female,18-25,UAE,RAK,Gold
3,Ali,Ali,Male,18-25,UAE,Ajman,Silver
4,Sara,Clark,Female,26-35,UAE,Fujairah,Silver
5,Ali,Wilson,Female,18-25,UAE,Abu Dhabi,Gold
6,Mia,Smith,Male,36-50,UAE,Abu Dhabi,Silver
7,Ahmed,Wilson,Female,18-25,UAE,Ajman,Bronze
8,Ali,Ali,Male,50+,UAE,Dubai,Silver
9,Omar,Khan,Female,26-35,UAE,Ajman,Bronze
10,Ahmed,Davis,Female,18-25,UAE,Fujairah,Silver
11,John,Wilson,Female,18-25,UAE,Fujairah,Bronze
12,Emma,Hassan,Male,18-25,UAE,Abu Dhabi,Bronze
13,Layla,Khan,Male,36-50,UAE,RAK,Bronze
14,Mia,Hassan,Female,36-50,UAE,Dubai,Bronze
15,Ali,Smith,Female,26-35,UAE,RAK,Silver
16,Mia,Clark,Male,50+,UAE,RAK,Bronze
17,Ahmed,Ali,Female,18-25,UAE,Ajman,Silver
18,Fatima,Clark,Male,18-25,UAE,Abu Dhabi,Bronze
19,Omar,Brown,Female,26-35,UAE,RAK,Bronze
20,Ahmed,Ali,Male,26-35,UAE,RAK,Silver
21,Omar,Wilson,Female,18-25,UAE,Fujairah,Gold
22,Layla,Smith,Female,26-35,UAE,RAK,Bronze
23,Ali,Davis,Male,26-35,UAE,Abu Dhabi,Bronze
24,Ahmed,Taylor,Male,26-35,UAE,Abu Dhabi,Silver
25,Fatima,Wilson,Male,18-25,UAE,Fujairah,Silver
26,Noor,Khan,Male,26-35,UAE,Sharjah,Silver
27,Omar,Hassan,Female,36-50,UAE,Dubai,Silver
28,Layla,Wilson,Male,36-50,UAE,Abu Dhabi,Bronze
29,Layla,Taylor,Female,36-50,UAE,RAK,Bronze
30,Ali,Taylor,Female,26-35,UAE,Ajman,Gold
31,Ahmed,Clark,Female,26-35,UAE,RAK,Bronze
32,Emma,Khan,Male,26-35,UAE,Sharjah,Silver
33,Layla,Ali,Male,18-25,UAE,Dubai,Bronze
34,Fatima,Clark,Male,26-35,UAE,Ajman,Bronze
35,Sara,Hassan,Female,26-35,UAE,Sharjah,Bronze
36,John,Johnson,Female,26-35,UAE,Sharjah,Bronze
37,Omar,Smith,Male,26-35,UAE,Dubai,Silver
38,Sara,Taylor,Male,36-50,UAE,Fujairah,Bronze
39,Layla,Taylor,Female,36-50,UAE,Abu Dhabi,Silver
40,Sara,Clark,Male,18-25,UAE,Dubai,Bronze
41,Emma,Ali,Male,18-25,UAE,Dubai,Silver
42,Mia,Ali,Female,26-35,UAE,Dubai,Bronze
43,Omar,Khan,Female,26-35,UAE,Abu Dhabi,Bronze
44,Noor,Hassan,Female,26-35,UAE,Ajman,Silver
